Order ID,Client Order ID,Instrument,Side,Exec Status,Quantity,Price,Reason,Transaction Time
order_1,aa13,Rose,2,New,200,55,Accepted,2024-10-12 16:58:08
order_2,aa14,Rose,1,New,100,55,Accepted,2024-10-12 16:58:08
order_2,aa14,Rose,1,Fill,100,55,Accepted,2024-10-12 16:58:08
order_1,aa13,Rose,2,Partial Fill,100,55,Accepted,2024-10-12 16:58:08
order_3,aa15,Rose,1,New,200,55,Accepted,2024-10-12 16:58:08
order_3,aa15,Rose,1,Partial Fill,100,55,Accepted,2024-10-12 16:58:08
order_1,aa13,Rose,2,Fill,100,55,Accepted,2024-10-12 16:58:08
order_4,aa13,Tulip,2,New,200,55,Accepted,2024-10-12 16:58:08
order_5,aa14,Tulip,1,Reject,89,55,Invalid Size,2024-10-12 16:58:08
order_6,aa15,Tulip,1,New,200,55,Accepted,2024-10-12 16:58:08
order_6,aa15,Tulip,1,Fill,200,55,Accepted,2024-10-12 16:58:08
order_4,aa13,Tulip,2,Fill,200,55,Accepted,2024-10-12 16:58:08
order_7,aa13,Thaveesha,2,Reject,200,55,Invalid Instrument,2024-10-12 16:58:08
order_8,aa14,Tulip,1,New,100,55,Accepted,2024-10-12 16:58:08
order_9,aa15,Tulip,1,New,200,55,Accepted,2024-10-12 16:58:08
