Order ID,Client Order ID,Instrument,Side,Exec Status,Quantity,Price,Reason,Transaction Time
order_1,client_001,Rose,1,New,50,100,Accepted,1728738513656
order_2,client_002,Lavender,2,Reject,51,100,Invalid Size,1728738513656
order_3,client_003,Rose,1,New,50,200,Accepted,1728738513656
order_4,client_004,Rose,2,New,50,100,Accepted,1728738513656
order_4,client_004,Rose,2,Fill,50,100,Accepted,1728738513656
order_3,client_003,Rose,1,Fill,50,200,Accepted,1728738513656
order_5,client_005,Rose,2,New,50,200,Accepted,1728738513656
order_5,client_005,Rose,2,Fill,50,200,Accepted,1728738513656
order_1,client_001,Rose,1,Fill,50,100,Accepted,1728738513656
order_6,client_006,Lotus,1,Reject,52,500,Invalid Size,1728738513656
order_7,client_007,Lily,2,Reject,51,100,Invalid Instrument,1728738513656
order_8,client_008,Tulip,2,Reject,55,300,Invalid Size,1728738513656
order_9,client_009,Rose,1,New,50,250,Accepted,1728738513656
order_9,client_009,Rose,1,Fill,50,250,Accepted,1728738513656
order_4,client_004,Rose,2,Fill,50,100,Accepted,1728738513656
order_10,client_010,Rose,2,New,50,250,Accepted,1728738513656
order_10,client_010,Rose,2,Fill,50,250,Accepted,1728738513656
order_9,client_009,Rose,1,Fill,50,250,Accepted,1728738513656
order_11,client_011,Orchid,1,Reject,53,1000,Invalid Size,1728738513656
order_12,client_012,Orchid,2,Reject,53,1000,Invalid Size,1728738513656
order_13,client_013,Tulip,1,Reject,55,300,Invalid Size,1728738513656
order_14,client_014,Rose,3,Reject,50,300,Invalid Side,1728738513656
order_15,client_015,Tulip,1,Reject,55,350,Invalid Size,1728738513656
order_16,client_016,Rose,2,New,50,25,Accepted,1728738513656
order_17,client_017,Rose,2,Reject,49,100,Invalid Size,1728738513656
